Park,Name,Unit Code,Park Type,Region,State,Year,Month,Date,Latitude,Longitude,Recreation Visits,Rank
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain,CO,2017,1,Jan 1 2017,37.18,-108.49,613788,34
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain,CO,2018,1,Jan 1 2018,37.18,-108.49,563420,35
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain,CO,2019,1,Jan 1 2019,37.18,-108.49,556203,36
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain,CO,2020,1,Jan 1 2020,37.18,-108.49,287477,40
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain,CO,2021,1,Jan 1 2021,37.18,-108.49,548477,37
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2012,1,Jan 1 2012,46.85,-121.75,1049178,23
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2013,1,Jan 1 2013,46.85,-121.75,1148552,19
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2014,1,Jan 1 2014,46.85,-121.75,1264259,19
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2015,1,Jan 1 2015,46.85,-121.75,1237231,21
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2016,1,Jan 1 2016,46.85,-121.75,1356913,20
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2017,1,Jan 1 2017,46.85,-121.75,1415867,20
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2018,1,Jan 1 2018,46.85,-121.75,1518491,20
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2019,1,Jan 1 2019,46.85,-121.75,1501621,20
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2020,1,Jan 1 2020,46.85,-121.75,1160754,20
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West,WA,2021,1,Jan 1 2021,46.85,-121.75,1670063,19
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2012,1,Jan 1 2012,48.7,-121.2,26935,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2013,1,Jan 1 2013,48.7,-121.2,21623,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2014,1,Jan 1 2014,48.7,-121.2,23865,49
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2015,1,Jan 1 2015,48.7,-121.2,20677,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2016,1,Jan 1 2016,48.7,-121.2,28646,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2017,1,Jan 1 2017,48.7,-121.2,30326,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2018,1,Jan 1 2018,48.7,-121.2,30085,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2019,1,Jan 1 2019,48.7,-121.2,38208,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2020,1,Jan 1 2020,48.7,-121.2,30885,50
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West,WA,2021,1,Jan 1 2021,48.7,-121.2,17855,51
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2012,1,Jan 1 2012,47.97,-123.5,2824908,7
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2013,1,Jan 1 2013,47.97,-123.5,3085340,5
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2014,1,Jan 1 2014,47.97,-123.5,3243872,6
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2015,1,Jan 1 2015,47.97,-123.5,3263761,7
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2016,1,Jan 1 2016,47.97,-123.5,3390221,7
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2017,1,Jan 1 2017,47.97,-123.5,3401996,8
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2018,1,Jan 1 2018,47.97,-123.5,3104455,9
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2019,1,Jan 1 2019,47.97,-123.5,3245806,9
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2020,1,Jan 1 2020,47.97,-123.5,2499177,9
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West,WA,2021,1,Jan 1 2021,47.97,-123.5,2718925,12
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2012,1,Jan 1 2012,35.07,-109.78,664857,27
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2013,1,Jan 1 2013,35.07,-109.78,644648,28
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2014,1,Jan 1 2014,35.07,-109.78,836799,25
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2015,1,Jan 1 2015,35.07,-109.78,793225,27
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2016,1,Jan 1 2016,35.07,-109.78,643274,31
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2017,1,Jan 1 2017,35.07,-109.78,627757,32
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2018,1,Jan 1 2018,35.07,-109.78,644922,32
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2019,1,Jan 1 2019,35.07,-109.78,643588,32
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2020,1,Jan 1 2020,35.07,-109.78,384483,37
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain,AZ,2021,1,Jan 1 2021,35.07,-109.78,590334,34
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2012,1,Jan 1 2012,36.48,-121.16,224476,43
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2013,1,Jan 1 2013,36.48,-121.16,237677,42
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2014,1,Jan 1 2014,36.48,-121.16,196635,43
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2015,1,Jan 1 2015,36.48,-121.16,206533,45
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2016,1,Jan 1 2016,36.48,-121.16,215555,45
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2017,1,Jan 1 2017,36.48,-121.16,233334,45
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2018,1,Jan 1 2018,36.48,-121.16,222152,45
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2019,1,Jan 1 2019,36.48,-121.16,177224,46
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2020,1,Jan 1 2020,36.48,-121.16,165740,45
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West,CA,2021,1,Jan 1 2021,36.48,-121.16,348857,42
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2012,1,Jan 1 2012,41.3,-124,352517,40
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2013,1,Jan 1 2013,41.3,-124,393364,39
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2014,1,Jan 1 2014,41.3,-124,429166,38
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2015,1,Jan 1 2015,41.3,-124,527143,35
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2016,1,Jan 1 2016,41.3,-124,536297,37
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2017,1,Jan 1 2017,41.3,-124,445000,40
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2018,1,Jan 1 2018,41.3,-124,482536,38
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2019,1,Jan 1 2019,41.3,-124,504722,39
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2020,1,Jan 1 2020,41.3,-124,265177,41
Redwood NP,Redwood National Park,REDW,National Park,Pacific West,CA,2021,1,Jan 1 2021,41.3,-124,435879,39
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2012,1,Jan 1 2012,40.4,-105.58,3229617,5
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2013,1,Jan 1 2013,40.4,-105.58,2991141,6
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2014,1,Jan 1 2014,40.4,-105.58,3434751,5
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2015,1,Jan 1 2015,40.4,-105.58,4155916,3
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2016,1,Jan 1 2016,40.4,-105.58,4517585,4
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2017,1,Jan 1 2017,40.4,-105.58,4437215,4
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2018,1,Jan 1 2018,40.4,-105.58,4590493,3
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2019,1,Jan 1 2019,40.4,-105.58,4670053,3
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2020,1,Jan 1 2020,40.4,-105.58,3305199,4
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain,CO,2021,1,Jan 1 2021,40.4,-105.58,4434848,5
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2012,1,Jan 1 2012,32.25,-110.5,634286,29
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2013,1,Jan 1 2013,32.25,-110.5,678261,26
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2014,1,Jan 1 2014,32.25,-110.5,673572,27
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2015,1,Jan 1 2015,32.25,-110.5,753446,28
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2016,1,Jan 1 2016,32.25,-110.5,820426,27
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2017,1,Jan 1 2017,32.25,-110.5,964760,27
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2018,1,Jan 1 2018,32.25,-110.5,957405,26
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2019,1,Jan 1 2019,32.25,-110.5,1020226,26
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2020,1,Jan 1 2020,32.25,-110.5,762226,25
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain,AZ,2021,1,Jan 1 2021,32.25,-110.5,1079786,25
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2012,1,Jan 1 2012,36.43,-118.68,1106584,21
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2013,1,Jan 1 2013,36.43,-118.68,909274,24
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2014,1,Jan 1 2014,36.43,-118.68,1039137,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2015,1,Jan 1 2015,36.43,-118.68,1097464,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2016,1,Jan 1 2016,36.43,-118.68,1254688,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2017,1,Jan 1 2017,36.43,-118.68,1291256,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2018,1,Jan 1 2018,36.43,-118.68,1229594,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2019,1,Jan 1 2019,36.43,-118.68,1246053,23
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2020,1,Jan 1 2020,36.43,-118.68,796086,24
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West,CA,2021,1,Jan 1 2021,36.43,-118.68,1059548,26
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2012,1,Jan 1 2012,38.53,-78.35,1210200,19
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2013,1,Jan 1 2013,38.53,-78.35,1136505,20
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2014,1,Jan 1 2014,38.53,-78.35,1255321,20
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2015,1,Jan 1 2015,38.53,-78.35,1321873,20
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2016,1,Jan 1 2016,38.53,-78.35,1437341,19
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2017,1,Jan 1 2017,38.53,-78.35,1458874,19
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2018,1,Jan 1 2018,38.53,-78.35,1264880,22
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2019,1,Jan 1 2019,38.53,-78.35,1425507,22
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2020,1,Jan 1 2020,38.53,-78.35,1666265,14
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast,VA,2021,1,Jan 1 2021,38.53,-78.35,1592312,20
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2012,1,Jan 1 2012,46.97,-103.45,640555,28
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2013,1,Jan 1 2013,46.97,-103.45,545090,30
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2014,1,Jan 1 2014,46.97,-103.45,559580,28
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2015,1,Jan 1 2015,46.97,-103.45,580033,32
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2016,1,Jan 1 2016,46.97,-103.45,753880,30
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2017,1,Jan 1 2017,46.97,-103.45,708003,30
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2018,1,Jan 1 2018,46.97,-103.45,749389,27
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2019,1,Jan 1 2019,46.97,-103.45,691658,31
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2020,1,Jan 1 2020,46.97,-103.45,551303,28
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest,ND,2021,1,Jan 1 2021,46.97,-103.45,796085,29
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2012,1,Jan 1 2012,48.5,-92.88,214841,44
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2013,1,Jan 1 2013,48.5,-92.88,233390,43
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2014,1,Jan 1 2014,48.5,-92.88,239160,42
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2015,1,Jan 1 2015,48.5,-92.88,238313,43
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2016,1,Jan 1 2016,48.5,-92.88,241912,43
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2017,1,Jan 1 2017,48.5,-92.88,237250,44
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2018,1,Jan 1 2018,48.5,-92.88,239656,44
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2019,1,Jan 1 2019,48.5,-92.88,232974,44
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2020,1,Jan 1 2020,48.5,-92.88,263091,42
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest,MN,2021,1,Jan 1 2021,48.5,-92.88,243042,46
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2012,1,Jan 1 2012,32.77,-106.17,447385,36
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2013,1,Jan 1 2013,32.77,-106.17,490544,34
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2014,1,Jan 1 2014,32.77,-106.17,503660,34
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2015,1,Jan 1 2015,32.77,-106.17,497506,37
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2016,1,Jan 1 2016,32.77,-106.17,555793,36
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2017,1,Jan 1 2017,32.77,-106.17,612468,35
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2018,1,Jan 1 2018,32.77,-106.17,603008,33
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2019,1,Jan 1 2019,32.77,-106.17,608785,35
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2020,1,Jan 1 2020,32.77,-106.17,415383,33
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain,NM,2021,1,Jan 1 2021,32.77,-106.17,782469,30
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2012,1,Jan 1 2012,43.57,-103.48,529083,31
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2013,1,Jan 1 2013,43.57,-103.48,516142,32
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2014,1,Jan 1 2014,43.57,-103.48,547022,29
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2015,1,Jan 1 2015,43.57,-103.48,612198,31
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2016,1,Jan 1 2016,43.57,-103.48,617377,32
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2017,1,Jan 1 2017,43.57,-103.48,619924,33
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2018,1,Jan 1 2018,43.57,-103.48,656397,31
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2019,1,Jan 1 2019,43.57,-103.48,615350,34
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2020,1,Jan 1 2020,43.57,-103.48,448405,32
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest,SD,2021,1,Jan 1 2021,43.57,-103.48,709001,31
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2012,1,Jan 1 2012,44.6,-110.5,3447729,4
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2013,1,Jan 1 2013,44.6,-110.5,3188030,4
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2014,1,Jan 1 2014,44.6,-110.5,3513484,4
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2015,1,Jan 1 2015,44.6,-110.5,4097710,5
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2016,1,Jan 1 2016,44.6,-110.5,4257177,6
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2017,1,Jan 1 2017,44.6,-110.5,4116524,6
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2018,1,Jan 1 2018,44.6,-110.5,4115000,5
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2019,1,Jan 1 2019,44.6,-110.5,4020288,6
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2020,1,Jan 1 2020,44.6,-110.5,3806306,2
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain,WY,2021,1,Jan 1 2021,44.6,-110.5,4860242,3
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2012,1,Jan 1 2012,37.83,-119.5,3853404,3
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2013,1,Jan 1 2013,37.83,-119.5,3691191,3
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2014,1,Jan 1 2014,37.83,-119.5,3882642,3
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2015,1,Jan 1 2015,37.83,-119.5,4150217,4
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2016,1,Jan 1 2016,37.83,-119.5,5028868,3
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2017,1,Jan 1 2017,37.83,-119.5,4336890,5
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2018,1,Jan 1 2018,37.83,-119.5,4009436,6
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2019,1,Jan 1 2019,37.83,-119.5,4422861,5
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2020,1,Jan 1 2020,37.83,-119.5,2268313,12
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West,CA,2021,1,Jan 1 2021,37.83,-119.5,3287595,8
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2012,1,Jan 1 2012,37.3,-113.05,2973607,6
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2013,1,Jan 1 2013,37.3,-113.05,2807387,7
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2014,1,Jan 1 2014,37.3,-113.05,3189696,7
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2015,1,Jan 1 2015,37.3,-113.05,3648846,6
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2016,1,Jan 1 2016,37.3,-113.05,4295127,5
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2017,1,Jan 1 2017,37.3,-113.05,4504812,3
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2018,1,Jan 1 2018,37.3,-113.05,4320033,4
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2019,1,Jan 1 2019,37.3,-113.05,4488268,4
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2020,1,Jan 1 2020,37.3,-113.05,3591254,3
Zion NP,Zion National Park,ZION,National Park,Intermountain,UT,2021,1,Jan 1 2021,37.3,-113.05,5039835,2